title,studio,gross,total theaters,opening gross,opening theaters,release,wiki views
A Hard Day's Night (2014 re-release),Jan.,515005.0,136.0,220542.0,102.0,2014-07-04,
The One I Love,RTWC,513447.0,82.0,48059.0,8.0,2014-08-22,41716.0
Tracks (2014),Wein.,510007.0,67.0,21544.0,4.0,2014-09-19,
The Two Faces of January,Magn.,507463.0,59.0,43116.0,6.0,2014-09-26,70806.0
A Girl Walks Home Alone at Night,KL,491910.0,19.0,,,2014-11-21,
Last Days in Vietnam,AEF,466114.0,25.0,30500.0,2.0,2014-09-05,
In Secret,RAtt.,444179.0,266.0,265586.0,266.0,2014-02-21,
But Always (Yi Sheng Yi Shi),CL,430760.0,20.0,144720.0,20.0,2014-09-05,
Beijing Love Story,CL,428318.0,12.0,140106.0,9.0,2014-02-14,
Cold in July,IFC,427418.0,73.0,40317.0,6.0,2014-05-23,
She's Beautiful When She's Angry,ICir,421573.0,19.0,10505.0,1.0,2014-12-05,
The German Doctor,Gold.,418392.0,39.0,34259.0,5.0,2014-04-25,
The Pirates,WGUSA,415775.0,25.0,26025.0,1.0,2014-09-05,
Goodbye to Language,KL,390099.0,7.0,,,2014-10-24,
Humpty Sharma Ki Dulhania,Relbig.,380011.0,101.0,380011.0,101.0,2014-07-11,
Women Who Flirt (Sajiao Nvren),CL,375495.0,27.0,74052.0,26.0,2014-11-26,
Venus in Fur,IFC,373605.0,45.0,24761.0,2.0,2014-06-20,
Joe (2014),RAtt.,373375.0,48.0,105881.0,48.0,2014-04-11,
Glen Campbell... I'll Be Me,A23,365422.0,18.0,86741.0,10.0,2014-10-24,
Omar,AF,356000.0,53.0,157000.0,53.0,2014-02-21,
The Face of Love,IFC,350006.0,42.0,24660.0,3.0,2014-03-07,
Le Chef,Cohen,342667.0,19.0,11290.0,1.0,2014-06-20,
Jimi: All Is By My Side,XL,340911.0,75.0,97008.0,34.0,2014-09-26,
Chinese Puzzle,Cohen,338523.0,29.0,23544.0,2.0,2014-05-16,
I Origins,FoxS,336472.0,122.0,27652.0,4.0,2014-07-18,56160.0
"Like Father, Like Son (2014)",IFC,334616.0,35.0,16044.0,2.0,2014-01-17,
The Guest (2014),PH,332890.0,53.0,84527.0,19.0,2014-09-17,
Elaine Stritch: Shoot Me,IFC,327452.0,41.0,27853.0,2.0,2014-02-21,
Nymphomaniac: Volume II,Magn.,327167.0,31.0,74978.0,30.0,2014-04-04,
Stranger By the Lake,Strand,325196.0,16.0,27599.0,2.0,2014-01-24,
On My Way,Cohen,317324.0,32.0,10536.0,1.0,2014-03-14,
Happy Ending,Eros,313770.0,129.0,198702.0,129.0,2014-11-21,
The Hornet's Nest,Free,312706.0,57.0,26550.0,4.0,2014-05-09,
I Am Eleven,Proud,310116.0,16.0,5800.0,2.0,2014-09-12,
A Five Star Life,MBox,306917.0,20.0,15996.0,1.0,2014-07-18,
Mood Indigo,Drft.,303187.0,37.0,26511.0,2.0,2014-07-18,
Innocence (2014),JSC,294039.0,490.0,235224.0,490.0,2014-09-05,
The Dance of Reality,Abk.,293680.0,15.0,24768.0,2.0,2014-05-23,
Antarctica: A Year on Ice,MBox,288757.0,30.0,32238.0,8.0,2014-11-28,
The Last of Robin Hood,Gold.,288545.0,78.0,25821.0,2.0,2014-08-29,
